"","Property_Sector","Origination_Date","Fixed_Maturity","Recent_NOI","Recent_Value","Orig_Note_Amount","Year_Built","Physical_Occupancy_At_Securitiza","Scheduled_Balloon","FSH","Health","Industrial","LSH","Mixed_Use","Mobile_Home","Multi_family","Office","Other","Retail_Anchored","Retail_Unanchored","Self_Storage","Warehouse","Spread","Inv_Bank_Dummy"
"4399","Healthcare",1998-07-01,2008-07-01,233630.55,1650000,1155000,1900,0.667,948975.55,0,1,0,0,0,0,0,0,0,0,0,0,0,2.373,0
"4400","Multi-family",1998-08-01,2008-08-01,127794.25,1650000,1150000,1964,0.83,1003101.57,0,0,0,0,0,0,1,0,0,0,0,0,0,1.458,0
"4401","Multi-family",1998-05-01,2023-05-01,154559.13,1475000,1143000,1967,0.98,62565.88,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0055,0
"4402","Retail Anchored",1998-10-01,2008-10-01,138261.45,1525000,1125000,1997,1,971357.93,0,0,0,0,0,0,0,0,0,1,0,0,0,1.913,0
"4403","Multi-family",1998-09-01,2008-09-01,125566.44,1400000,1100000,1981,0.935,962512.81,0,0,0,0,0,0,1,0,0,0,0,0,0,1.883,0
"4404","Mobile Home",1998-09-01,2008-09-01,119121.16,1395000,1e+06,1990,0.99,806125.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1.958,0
"4405","Multi-family",1998-06-01,2028-06-01,120283.65,1220000,992000,1997,1,0.59,0,0,0,0,0,0,1,0,0,0,0,0,0,2.908,0
"4406","Retail Unanchored",1998-07-01,2008-07-01,117401.86,1315000,975000,1963,1,789253.37,0,0,0,0,0,0,0,0,0,0,1,0,0,1.873,0
"4407","Multi-family",1998-08-01,2013-08-01,99167.45,1100000,880000,1972,0.97,673381.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4005,0
"4408","Multi-family",1998-11-01,2008-11-01,103346.91,1116000,855096,1990,1,743256.18,0,0,0,0,0,0,1,0,0,0,0,0,0,2.203,0
"4409","Multi-family",1998-05-01,2008-05-01,93277.82,1100000,8e+05,1920,1,702523.18,0,0,0,0,0,0,1,0,0,0,0,0,0,1.458,0
"4410","Multi-family",1998-06-01,2013-06-01,126331.75,960000,768000,1961,0.97,593326.95,0,0,0,0,0,0,1,0,0,0,0,0,0,1.533,0
"4411","Retail Anchored",1997-03-28,2017-04-01,3870656,45800000,33409000,1968,0.9405,22803183.03,0,0,0,0,0,0,0,0,0,1,0,0,0,1.519895,0
"4412","Multi-family",1997-03-31,2027-04-01,3447694,4e+07,3e+07,1952,0.9745,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.285,0
"4413","Retail Anchored",1996-12-13,2007-01-01,3562064,4e+07,28800000,1987,0.921,25336395.57,0,0,0,0,0,0,0,0,0,1,0,0,0,2.304375,0
"4414","Retail Anchored",1997-03-25,2007-04-01,2899937,3.3e+07,2.4e+07,1989,0.994,21060311.48,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75976,0
"4415","Multi-family",1997-03-25,2007-04-01,2561370,28400000,22250000,1970,0.9699,19617833.18,0,0,0,0,0,0,1,0,0,0,0,0,0,1.38476,0
"4416","Retail Anchored",1997-01-02,2007-02-01,2716258,3.4e+07,21126000,1965,0.9175,18838152.32,0,0,0,0,0,0,0,0,0,1,0,0,0,2.28904,1
"4417","Retail Anchored",1996-09-27,2008-10-01,2634222,2.9e+07,2e+07,1986,0.9513,17271041.75,0,0,0,0,0,0,0,0,0,1,0,0,0,2.33689,1
"4418","Multi-family",1997-03-26,2012-04-01,2261624,25300000,1.9e+07,1963,0.95,14911290.16,0,0,0,0,0,0,1,0,0,0,0,0,0,1.65676,1
